Date,Closing price
11/27/2017,$71.53
11/28/2017,$72.62
11/29/2017,$73.26
11/30/2017,$74.51
12/1/2017,$73.59
12/4/2017,$74.21
12/5/2017,$73.58
12/6/2017,$73.69
12/7/2017,$74.37
12/8/2017,$74.69
12/11/2017,$74.54
12/12/2017,$74.62
12/13/2017,$74.91
12/14/2017,$74.40
12/15/2017,$74.52
12/18/2017,$75.05
12/19/2017,$75.07
12/20/2017,$75.32
12/21/2017,$75.38
12/22/2017,$75.40
12/26/2017,$75.48
12/27/2017,$75.66
12/28/2017,$75.81
12/29/2017,$75.67
1/2/2018,$76.12
1/3/2018,$76.53
1/4/2018,$77.09
1/5/2018,$77.62
1/8/2018,$77.94
1/9/2018,$78.44
1/10/2018,$78.43
1/11/2018,$79.43
1/12/2018,$80.17
1/16/2018,$79.45
1/17/2018,$79.89
1/18/2018,$79.46
1/19/2018,$79.69
1/22/2018,$79.69
1/23/2018,$79.73
1/24/2018,$79.66
1/25/2018,$79.74
1/26/2018,$80.66
1/29/2018,$80.12
1/30/2018,$79.49
1/31/2018,$79.73
2/1/2018,$79.59
2/2/2018,$77.99
2/5/2018,$74.45
2/6/2018,$75.81
2/7/2018,$75.95
2/8/2018,$73.02
2/9/2018,$73.81
2/12/2018,$75.00
2/13/2018,$75.17
2/14/2018,$76.12
2/15/2018,$77.27
2/16/2018,$77.29
2/20/2018,$76.51
2/21/2018,$76.53
2/22/2018,$77.04
2/23/2018,$77.68
2/26/2018,$78.75
2/27/2018,$77.76
2/28/2018,$76.65
3/1/2018,$75.15
3/2/2018,$75.13
3/5/2018,$76.03
3/6/2018,$76.37
3/7/2018,$76.36
3/8/2018,$76.76
3/9/2018,$78.45
3/12/2018,$77.48
3/13/2018,$77.10
3/14/2018,$76.26
3/15/2018,$76.48
3/16/2018,$76.58
3/19/2018,$75.99
3/20/2018,$76.25
3/21/2018,$76.34
3/22/2018,$73.82
3/23/2018,$72.74
3/26/2018,$74.50
3/27/2018,$73.47
3/28/2018,$73.22
3/29/2018,$74.29
4/2/2018,$72.76
4/3/2018,$73.77
4/4/2018,$74.09
4/5/2018,$74.84
4/6/2018,$72.77
4/9/2018,$72.55
4/10/2018,$73.66
4/11/2018,$73.12
4/12/2018,$74.17
4/13/2018,$73.99
4/16/2018,$74.73
4/17/2018,$75.36
4/18/2018,$76.14
4/19/2018,$75.93
4/20/2018,$75.60
4/23/2018,$75.51
4/24/2018,$73.40
4/25/2018,$73.61
4/26/2018,$73.34
4/27/2018,$73.19
4/30/2018,$72.22
5/1/2018,$71.89
5/2/2018,$71.26
5/3/2018,$71.43
5/4/2018,$72.26
5/7/2018,$72.74
5/8/2018,$73.26
5/9/2018,$74.05
5/10/2018,$74.55
5/11/2018,$74.71
5/14/2018,$74.58
5/15/2018,$74.33
5/16/2018,$74.60
5/17/2018,$74.89
5/18/2018,$75.33
5/21/2018,$76.47
5/22/2018,$75.53
5/23/2018,$75.46
5/24/2018,$75.83
5/25/2018,$75.69
5/29/2018,$74.48
5/30/2018,$75.53
5/31/2018,$74.44
6/1/2018,$75.26
6/4/2018,$75.15
6/5/2018,$75.24
6/6/2018,$75.87
6/7/2018,$76.19
6/8/2018,$76.44
6/11/2018,$76.59
6/12/2018,$76.51
6/13/2018,$75.90
6/14/2018,$75.61
6/15/2018,$75.12
6/18/2018,$74.81
6/19/2018,$73.23
6/20/2018,$73.28
6/21/2018,$72.36
6/22/2018,$72.61
6/25/2018,$71.69
6/26/2018,$71.96
6/27/2018,$71.38
6/28/2018,$71.48
6/29/2018,$71.63
7/2/2018,$71.79
7/3/2018,$71.56
7/5/2018,$71.91
7/6/2018,$72.16
7/9/2018,$73.50
7/10/2018,$73.73
7/11/2018,$72.52
7/12/2018,$73.37
7/13/2018,$73.75
7/16/2018,$73.45
7/17/2018,$73.74
7/18/2018,$74.55
7/19/2018,$74.52
7/20/2018,$74.44
7/23/2018,$73.98
7/24/2018,$74.29
7/25/2018,$75.42
7/26/2018,$76.00
7/27/2018,$76.01
7/30/2018,$75.26
7/31/2018,$76.92
8/1/2018,$75.88
8/2/2018,$75.78
8/3/2018,$75.85
8/6/2018,$75.96
8/7/2018,$76.50
8/8/2018,$76.16
8/9/2018,$75.74
8/10/2018,$75.07
8/13/2018,$74.71
8/14/2018,$75.23
8/15/2018,$74.87
8/16/2018,$75.82
8/17/2018,$76.28
8/20/2018,$76.79
8/21/2018,$77.36
8/22/2018,$76.61
8/23/2018,$76.39
8/24/2018,$76.72
8/27/2018,$77.69
8/28/2018,$77.53
8/29/2018,$77.59
8/30/2018,$77.05
8/31/2018,$77.10
9/4/2018,$77.04
9/5/2018,$77.59
9/6/2018,$77.83
9/7/2018,$77.59
9/10/2018,$77.99
9/11/2018,$77.97
9/12/2018,$78.21
9/13/2018,$78.68
9/14/2018,$79.07
9/17/2018,$79.10
9/18/2018,$79.82
9/19/2018,$79.75
9/20/2018,$79.87
9/21/2018,$80.00
9/24/2018,$78.63
9/25/2018,$78.39
9/26/2018,$78.34
9/27/2018,$78.45
9/28/2018,$78.40
10/1/2018,$79.09
10/2/2018,$79.27
10/3/2018,$79.60
10/4/2018,$79.34
10/5/2018,$78.93
10/8/2018,$79.13
10/9/2018,$77.91
10/10/2018,$75.40
10/11/2018,$73.41
10/12/2018,$73.90
10/15/2018,$74.04
10/16/2018,$75.29
10/17/2018,$74.74
10/18/2018,$73.45
10/19/2018,$73.18
10/22/2018,$72.93
10/23/2018,$71.73
10/24/2018,$69.30
10/25/2018,$69.79
10/26/2018,$69.10
10/29/2018,$67.95
10/30/2018,$69.35
10/31/2018,$69.88
11/1/2018,$71.11
11/2/2018,$70.99
11/5/2018,$71.36
11/6/2018,$72.11
11/7/2018,$73.28
11/8/2018,$73.16
11/9/2018,$72.42
11/12/2018,$70.99
11/13/2018,$71.31
11/14/2018,$71.07
11/15/2018,$72.01
11/16/2018,$71.99
11/19/2018,$70.85
11/20/2018,$69.38
11/21/2018,$69.87
11/23/2018,$69.73
